站號,站名,城市,地址
C0A640,石碇,新北市,石碇區湳窟34號附近
C0A650,火燒寮,新北市,平溪區東勢里
C0A660,瑞芳,新北市,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內)
C0A770,科教館,臺北市,士林區士商路189號（士林科教館樓頂）
C0A860,大坪,新北市,萬里區溪底里香員林6-3號
C0A870,五指山,新北市,汐止區國軍示範公墓旁之復興廣播電台門口外
C0A880,福隆,新北市,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方
C0A890,雙溪,新北市,雙溪區雙溪里社區活動中心旁花圃內
C0A920,富貴角,新北市,石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近)
C0A931,三和,新北市,金山區三和國小兩湖分校
C0A940,金山,新北市,金山區中興段404地號(磺港社區活動中心內)
C0A950,鼻頭角,新北市,瑞芳區鼻頭角燈塔旁
C0A970,三貂角,新北市,貢寮區三貂角燈塔旁
C0A980,社子,臺北市,士林區延平北路九段212號(臺北海洋科技大學內)
C0A9C0,天母,臺北市,士林區天母東路116號(三玉國小內)
C0A9F0,內湖,臺北市,內湖區內湖路一段520號(內湖高工內)
C0AC40,大屯山,臺北市,北投區湖田段461-6地號(民航局大屯山助航臺)
C0AC60,三峽,新北市,三峽區復興路238號(三峽國中校園內)
C0AC70,信義,臺北市,信義區市府路1號(台北市政府頂樓)
C0AC80,文山,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內)
C0ACA0,新莊,新北市,新莊區中和街193號(榮富國小校園內)
C0AD00,三芝,新北市,三芝區育英路22號(三芝國小內)
C0AD10,八里,新北市,八里區中山路二段338號(八里國小內)
C0AD30,蘆洲,新北市,蘆洲區三民路96號(三民高中內)
C0AD40,土城,新北市,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂)
C0AD50,鶯歌,新北市,鶯歌區尖山埔路106號(鶯歌國小內)
C0AG80,中和,新北市,中和區錦和路163號(錦和高中內)
C0AH00,汐止,新北市,汐止區大同路二段394號(汐止國中)
C0AH10,永和,新北市,永和區永平路205號(永平高中校園內)
C0AH30,五分山,新北市,瑞芳區靜安路四段1巷1號
C0AH40,平等,臺北市,士林區平菁街101號(平等國小)
C0AH50,林口,新北市,林口區仁愛路二段173號(林口高中內)
C0AH70,松山,臺北市,松山區敦化北路1號(臺北市松山運動中心)
C0AH80,深坑,新北市,深坑區文山路1段35號(深坑消防分隊樓頂)
C0AH90,福山植物園,新北市,烏來區福山植物園內(生活植物區之民俗植物區觀測坪)
C0AI00,五股,新北市,五股區外寮路12號
C0AI10,屈尺,新北市,新店區屈尺路83號(衛福部北區老人之家)
C0AI20,白沙灣,新北市,石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）
C0AI30,三重,新北市,三重區環河南路100號
C0AI40,石牌,臺北市,北投區石牌路一段139號(石牌國中自強樓頂樓)
C0AJ20,野柳,新北市,萬里區野柳村151-1號(野柳守望哨雷達塔)
C0AJ30,淡水觀海,新北市,淡水區觀海路251號(淡水第2海巡隊樓頂)
C0AJ40,石門,新北市,石門區草里里草埔尾5號(黃金海岸高爾夫球場)
C0AJ50,水湳洞,新北市,瑞芳區水湳洞段00197-000建號(水湳洞犬區隊)
C0AJ60,六塊厝,新北市,淡水區
C0AJ70,田寮,新北市,三芝區古庄里83之1號
C0AJ80,板橋,新北市,板橋區僑中一街1號
C0AJ90,澳底,新北市,貢寮區真理里延平街10號(澳底國小)
C0B010,七堵,基隆市,七堵區東新街22號(基隆商工樓頂)
C0B020,基隆嶼,基隆市,中正區基隆嶼
C0B040,大武崙,基隆市,安樂區武聖街144弄50號(大武崙安檢所樓頂)
C0B050,八斗子,基隆市,中正區漁港1街9號(八斗子安檢所樓頂)
C0B060,暖暖,基隆市,暖暖區東碇路15號（暖暖運動公園內）
C0C460,復興,桃園市,復興區澤仁里中正路248號(介壽國民中學校園內)
C0C480,桃園,桃園市,桃園區成功路二段144號(桃園高級農工職業學校校園內)
C0C490,八德,桃園市,八德區興仁里中山路94號(八德國民小學校園內)
C0C590,觀音,桃園市,觀音區廣福里10-42號(逸福農場)
C0C620,蘆竹,桃園市,蘆竹區坑口里14鄰旁
C0C630,大溪,桃園市,大溪區員林路2段450號(員樹林國小校園內)
C0C650,平鎮,桃園市,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內)
C0C660,楊梅,桃園市,楊梅區金華街100號(楊心國小)
C0C670,龍潭,桃園市,龍潭區中興路726號（龍潭消防分隊）
C0C680,龜山,桃園市,龜山區文化一路250號(國立體育大學田徑場)
C0C700,中壢,桃園市,中壢區成章四街120號(內壢高中樓頂)
C0C710,大溪永福,桃園市,大溪區信義路1165號（永福國小）
C0C720,竹圍,桃園市,大園區沙崙段沙崙小號00719-000建號(竹圍第一機動巡邏隊樓頂)
C0C730,中大臨海站,桃園市,新屋區蚵殼港段深圳小段52-41號土地(中央大學臨海工作站)
C0C740,觀音工業區,桃園市,觀音區經建七路5號(觀音工業區汙水處理廠迴流汙泥站機房樓頂)
C0C750,新興坑尾,桃園市,觀音區文化路石橋段453號
C0D360,梅花,新竹縣,尖石鄉梅花村1鄰11號(梅花國小校園內)
C0D430,峨眉,新竹縣,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內)
C0D480,打鐵坑,新竹縣,新埔鎮新北里8鄰大北坑28號旁
C0D540,橫山,新竹縣,橫山鄉橫山村橫山段426-6地號上
C0D550,雪霸,新竹縣,五峰鄉桃山村民石380號(雪霸農場內)
C0D560,竹東,新竹縣,竹東鎮二重國民小學校園內
C0D580,寶山,新竹縣,寶山鄉新湖路280號旁
C0D590,新豐,新竹縣,新豐鄉松柏村康和路199號(小叮噹科學主題樂園)
C0D650,湖口,新竹縣,湖口鄉信勢村三鄰成功路109號(湖口消防分隊)
C0D660,新竹市東區,新竹市,東區光復路二段321號（工研院光復院區6館）
C0D670,海天一線,新竹市,北區(海天一線看海公園)
C0D680,香山濕地,新竹市,香山區西濱路三段500巷17號
C0D690,外湖,新竹縣,新豐鄉新豐段00369-000建號(外湖守望哨樓頂)
C0D700,關西,新竹縣,新竹縣關西鎮北斗里北門口41號(關西國中校園內)
C0E420,竹南,苗栗縣,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內)
C0E430,南庄,苗栗縣,南庄鄉東村文化路3號(南庄國小校園內)
C0E550,明德,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上
C0E590,通霄,苗栗縣,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內)
C0E610,馬都安,苗栗縣,泰安鄉錦水村(由泰安開車約2小時瞭望台旁)
